frame_id,timestamp,object_id,class,center_x,center_y,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,0.0,1,player,50.0,300.0,0.95,30.0,270.0,70.0,330.0
0,0.0,2,player,850.0,480.0,0.88,830.0,450.0,870.0,510.0
0,0.0,3,ball,400.0,510.0,0.75,395.0,505.0,405.0,515.0
1,0.03333333333333333,1,player,57.85423203958663,302.0942419883357,0.95,37.85423203958663,272.0942419883357,77.85423203958663,332.0942419883357
1,0.03333333333333333,2,player,848.9013364214136,479.96052482925853,0.88,828.9013364214136,449.96052482925853,868.9013364214136,509.96052482925853
2,0.06666666666666667,1,player,65.70111766656488,304.18756537291995,0.95,45.70111766656488,274.18756537291995,85.70111766656488,334.18756537291995
2,0.06666666666666667,2,player,847.6057350657239,479.84213827426174,0.88,827.6057350657239,449.84213827426174,867.6057350657239,509.84213827426174
3,0.1,1,player,73.53332335643043,306.27905195293135,0.95,53.53332335643043,276.27905195293135,93.53332335643043,336.27905195293135
3,0.1,2,player,846.1143625364344,479.6449571682464,0.88,826.1143625364344,449.6449571682464,866.1143625364344,509.6449571682464
3,0.1,3,ball,474.6069661494564,499.4664728832377,0.75,469.6069661494564,494.4664728832377,479.6069661494564,504.4664728832377
4,0.13333333333333333,1,player,81.34354133827689,308.36778433323155,0.95,61.34354133827689,278.36778433323155,101.34354133827689,338.36778433323155
4,0.13333333333333333,2,player,844.4291580564316,479.3691761051582,0.88,824.4291580564316,449.3691761051582,864.4291580564316,509.3691761051582
5,0.16666666666666666,1,player,89.12450241510926,310.4528463267653,0.95,69.12450241510926,280.4528463267653,109.12450241510926,340.4528463267653
5,0.16666666666666666,2,player,842.5528258147576,479.015067247611,0.88,822.5528258147576,449.015067247611,862.5528258147576,509.015067247611
6,0.2,1,player,96.86898871648548,312.5333233564304,0.95,76.86898871648548,282.5333233564304,116.86898871648548,342.5333233564304
6,0.2,2,player,840.4888242944126,478.5829800582951,0.88,820.4888242944126,448.5829800582951,860.4888242944126,508.5829800582951
6,0.2,3,ball,544.5261022305147,469.3452941132117,0.75,539.5261022305147,464.3452941132117,549.5261022305147,474.3452941132117
7,0.23333333333333334,1,player,104.56984636111383,314.60830285624115,0.95,84.56984636111383,284.60830285624115,124.56984636111383,344.60830285624115
7,0.23333333333333334,2,player,838.2413526233009,478.0733409550998,0.88,818.2413526233009,448.0733409550998,858.2413526233009,508.0733409550998
8,0.26666666666666666,1,player,112.21999800719165,316.6768746716102,0.95,92.21999800719165,286.6768746716102,132.21999800719163,346.6768746716102
8,0.26666666666666666,2,player,835.8153340021931,477.4866528902905,0.88,815.8153340021931,447.4866528902905,855.8153340021931,507.4866528902905
9,0.3,1,player,119.8124552684678,318.73813145857247,0.95,99.8124552684678,288.73813145857247,139.8124552684678,348.73813145857247
9,0.3,2,player,833.2163962751008,476.82349485415546,0.88,813.2163962751008,446.82349485415546,853.2163962751008,506.82349485415546
9,0.3,3,ball,605.3641317786066,423.8668937347609,0.75,600.3641317786066,418.8668937347609,610.3641317786066,428.8668937347609
10,0.3333333333333333,1,player,127.34033097424667,320.79116908177593,0.95,107.34033097424667,290.79116908177593,147.34033097424668,350.79116908177593
10,0.3333333333333333,2,player,830.4508497187473,476.0845213036123,0.88,810.4508497187473,446.0845213036123,850.4508497187473,506.0845213036123
11,0.36666666666666664,1,player,134.7968512518261,322.8350870110656,0.95,114.7968512518261,292.8350870110656,154.7968512518261,352.8350870110656
11,0.36666666666666664,2,player,827.5256621387895,475.27046151633806,0.88,807.5256621387895,445.27046151633806,847.5256621387895,505.27046151633806
12,0.4,1,player,142.17536741017153,324.8689887164855,0.95,122.17536741017153,294.8689887164855,162.17536741017153,354.8689887164855
12,0.4,2,player,824.4484313710706,474.38211887106013,0.88,804.4484313710706,444.38211887106013,844.4484313710706,504.38211887106013
12,0.4,3,ball,653.2983776506045,369.41857792939703,0.75,648.2983776506045,364.41857792939703,658.2983776506045,374.41857792939703
13,0.43333333333333335,1,player,149.4693676039797,326.89198206152656,0.95,129.4693676039797,296.89198206152656,169.4693676039797,356.89198206152656
13,0.43333333333333335,2,player,821.2273552964344,473.4203700547185,0.88,801.2273552964344,443.4203700547185,841.2273552964344,503.4203700547185
14,0.4666666666666667,1,player,156.67248825766774,328.90317969444715,0.95,136.67248825766774,298.90317969444715,176.67248825766774,358.90317969444715
14,0.4666666666666667,2,player,817.8711994874345,472.3861641972816,0.88,797.8711994874345,442.3861641972816,837.8711994874345,502.3861641972816
15,0.5,1,player,163.77852522924732,330.90169943749476,0.95,143.77852522924732,300.90169943749476,183.77852522924732,360.90169943749476
15,0.5,2,player,814.3892626146237,471.28052193506943,0.88,794.3892626146237,441.28052193506943,834.3892626146237,501.28052193506943
15,0.5,3,ball,685.316954888546,313.64745084375784,0.75,680.316954888546,308.64745084375784,690.316954888546,318.64745084375784
16,0.5333333333333333,1,player,170.78144469449768,332.8866646738583,0.95,150.78144469449768,302.8866646738583,190.78144469449768,362.8866646738583
16,0.5333333333333333,2,player,810.7913397489499,470.1045344035091,0.88,790.7913397489499,440.1045344035091,830.7913397489499,500.1045344035091
17,0.5666666666666667,1,player,177.67539373234388,334.8572047321815,0.95,157.67539373234388,304.8572047321815,197.67539373234388,364.8572047321815
17,0.5666666666666667,2,player,807.0876837050857,468.8593621603155,0.88,787.0876837050857,438.8593621603155,827.0876837050857,498.8593621603155
18,0.6,1,player,184.45471059286888,336.8124552684678,0.95,164.45471059286888,306.8124552684678,204.45471059286888,366.8124552684678
18,0.6,2,player,803.2889645782536,467.5462340401612,0.88,783.2889645782536,437.5462340401612,823.2889645782536,497.5462340401612
18,0.6,3,ball,699.4080185284815,264.38640153769654,0.75,694.4080185284815,259.38640153769654,704.4080185284815,269.38640153769654
19,0.6333333333333333,1,player,191.11393462994698,338.7515586452103,0.95,171.11393462994698,308.7515586452103,211.11393462994698,368.7515586452103
19,0.6333333333333333,2,player,799.4062276342339,466.166445941965,0.88,779.4062276342339,436.166445941965,819.4062276342339,496.166445941965
